,gender,credit_score,traffic_index,veh_age,veh_value,age,has_claim,predicted_avg_claim_cost,veh_safe,CLUSTER
0,0,0.6551312815030521,0.5951632256683393,-0.6354607936073466,-0.6510404575626046,0.03955919892646871,0,-0.34006323230525076,1,3
1,1,-0.6968254124064189,0.3435107463380209,0.3050952717173729,0.11006592589397063,-1.0073513461392045,1,-0.18138526695619264,1,1
2,1,-2.0931085552965283,0.2073223457592605,0.3050952717173729,0.3238598538312108,0.43215065332609615,1,2.665490010469534,0,0
3,0,1.076232546819117,-1.8029368714794012,1.2456513370420923,0.02454835471907446,-0.2876003464065542,0,-0.34006323230525076,1,3
4,1,1.3495789821997204,0.19547987614371592,-1.576016858932066,0.02454835471907446,1.5444931074583739,0,-0.34006323230525076,1,3
5,1,0.6034170910256407,0.8616187920180883,-1.576016858932066,0.11861768301145999,-1.7271023458718548,0,-0.34006323230525076,1,3
6,1,-0.10580609266457366,1.5277577078924607,0.3050952717173729,0.7599994668231808,1.0210378349255373,1,0.3416524287102862,0,0
7,1,0.9137022338901095,-0.719350901657089,-0.6354607936073466,-0.009658673750884002,0.301286835192887,0,-0.34006323230525076,1,3
8,0,-0.4456422015161347,0.023764066718322246,-0.6354607936073466,-0.3944877440379165,-1.9888299821382731,1,-0.10607865673213569,1,0
9,0,0.07888744475475298,1.2168928804844203,-0.6354607936073466,1.5296576073972454,-0.6801918008061816,1,-0.26481489727356106,1,0
10,0,-0.05409190218716221,0.8616187920180883,1.2456513370420923,-0.8477308712648657,0.8247421077257236,0,-0.34006323230525076,1,3
11,1,-0.31266285457421955,1.2613021415427117,0.3050952717173729,-0.7451097858549904,-1.1382151642724136,1,-0.2626101763105123,1,1
12,1,1.320028016212628,-2.424666526295482,1.2456513370420923,-0.8819378997348242,0.8247421077257236,0,-0.34006323230525076,1,3
13,1,0.5886416080320945,-1.3943716697431197,1.2456513370420923,-1.1555941274944916,0.8247421077257236,0,-0.34006323230525076,1,3
14,0,1.1057835128062092,1.077743862501774,-1.576016858932066,1.5715612172729445,-0.614759891739577,0,-0.34006323230525076,1,3
15,1,0.6625190229998252,0.9504373141346714,1.2456513370420923,-1.318077512726794,1.3481973802585603,0,-0.34006323230525076,1,3
16,0,-2.462495630135182,-0.5209895355967202,1.2456513370420923,-0.5227641008002606,-0.025872710140135865,1,0.596759920167023,1,1
17,1,1.1205589957997553,-1.2344983299332701,-1.576016858932066,0.7599994668231808,0.6284463805259098,0,-0.34006323230525076,1,3
18,0,0.743784179464329,-1.6252998272462353,-0.6354607936073466,-0.18069381610067617,0.6284463805259098,0,-0.34006323230525076,1,3
19,1,1.3274157577094012,1.4981515338535998,1.2456513370420923,-1.1299388561420227,1.8062207437247924,0,-0.34006323230525076,1,3
20,1,1.312640274715855,0.46489605989735083,-1.576016858932066,1.238897865402599,0.43215065332609615,0,-0.34006323230525076,1,3
21,1,0.4261112951030871,-0.5121076833850621,-1.576016858932066,0.7591442911114318,-1.530806618672041,0,-0.34006323230525076,0,3
22,1,0.7068454719804637,1.0836650973095459,0.3050952717173729,0.6146195958258576,-1.5962385277386457,0,-0.34006323230525076,1,3
23,0,0.01978551278056846,0.8616187920180883,-0.6354607936073466,-0.12938327339573863,0.5630144714593053,0,-0.34006323230525076,1,3
